@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
464,'2016/04/28 17:47:19:873',1,0,1
465,'2016/04/28 17:47:19:891',1,5.39886,1
466,'2016/04/28 17:47:19:909',1,0,1
467,'2016/04/28 17:47:19:924',1,5.340055,1
468,'2016/04/28 17:47:19:942',1,0,1
469,'2016/04/28 17:47:19:958',1,2.992737,1
470,'2016/04/28 17:47:19:975',1,0,1
471,'2016/04/28 17:47:19:993',1,1.467549,1
472,'2016/04/28 17:47:20:010',1,0,1
473,'2016/04/28 17:47:20:027',1,1.466867,1
474,'2016/04/28 17:47:20:045',1,0,1
475,'2016/04/28 17:47:20:062',1,2.79262,1
476,'2016/04/28 17:47:20:079',1,0,1
477,'2016/04/28 17:47:20:098',1,3.928778,1
478,'2016/04/28 17:47:20:115',1,0,1
479,'2016/04/28 17:47:20:131',1,6.6928,1
480,'2016/04/28 17:47:20:150',1,0,1
481,'2016/04/28 17:47:20:166',1,8.710323,1
482,'2016/04/28 17:47:20:183',1,0,1
483,'2016/04/28 17:47:20:199',1,0,1
484,'2016/04/28 17:47:20:216',1,0,1
485,'2016/04/28 17:47:20:233',1,9.412695,1
486,'2016/04/28 17:47:20:249',1,18.741077,1
487,'2016/04/28 17:47:20:266',1,0,1
488,'2016/04/28 17:47:20:282',1,0,1
489,'2016/04/28 17:47:20:299',1,8.091902,1
490,'2016/04/28 17:47:20:317',1,0,1
491,'2016/04/28 17:47:20:334',1,8.236979,1
492,'2016/04/28 17:47:20:351',1,6.833524,1
493,'2016/04/28 17:47:20:368',1,0,1
494,'2016/04/28 17:47:20:386',1,0,1
495,'2016/04/28 17:47:20:406',1,6.569212,1
496,'2016/04/28 17:47:20:424',1,5.65557,1
497,'2016/04/28 17:47:20:441',1,0,1
498,'2016/04/28 17:47:20:458',1,5.53844,1
499,'2016/04/28 17:47:20:473',1,0,1
500,'2016/04/28 17:47:20:490',1,4.477478,1
501,'2016/04/28 17:47:20:506',1,0,1
502,'2016/04/28 17:47:20:523',1,5.624583,1
503,'2016/04/28 17:47:20:539',1,0,1
504,'2016/04/28 17:47:20:555',1,6.529104,1
505,'2016/04/28 17:47:20:573',1,0,1
506,'2016/04/28 17:47:20:590',1,8.602066,1
507,'2016/04/28 17:47:20:605',1,0,1
508,'2016/04/28 17:47:20:622',1,10.478525,1
509,'2016/04/28 17:47:20:642',1,0,1
510,'2016/04/28 17:47:20:659',1,11.709496,1
511,'2016/04/28 17:47:20:675',1,0,1
512,'2016/04/28 17:47:20:693',1,11.461217,1
513,'2016/04/28 17:47:20:712',1,0,1
514,'2016/04/28 17:47:20:729',1,10.836879,1
515,'2016/04/28 17:47:20:745',1,0,1
516,'2016/04/28 17:47:20:763',1,12.34807,1
517,'2016/04/28 17:47:20:782',1,0,1
518,'2016/04/28 17:47:20:799',1,13.117871,1
519,'2016/04/28 17:47:20:815',1,0,1
520,'2016/04/28 17:47:20:832',1,9.185383,1
521,'2016/04/28 17:47:20:849',1,0,1
522,'2016/04/28 17:47:20:866',1,7.364371,1
523,'2016/04/28 17:47:20:882',1,6.543474,1
524,'2016/04/28 17:47:20:897',1,0,1
525,'2016/04/28 17:47:20:916',1,0,1
526,'2016/04/28 17:47:20:932',1,5.69114,1
527,'2016/04/28 17:47:20:949',1,0,1
528,'2016/04/28 17:47:20:966',1,4.80545,1
